Date,Open,High,Low,Close,Adj Close,Volume
18-07-2019,11675.60,11677.15,11582.40,11596.90,11596.90,498300
19-07-2019,11627.95,11640.35,11399.30,11419.25,11419.25,446000
22-07-2019,11392.85,11398.15,11301.25,11346.20,11346.20,516000
23-07-2019,11372.25,11398.15,11302.80,11331.05,11331.05,458900
24-07-2019,11322.45,11359.75,11229.80,11271.30,11271.30,413200
25-07-2019,11290.40,11361.40,11239.35,11252.15,11252.15,553700
26-07-2019,11247.45,11307.60,11210.05,11284.30,11284.30,522700
29-07-2019,11307.50,11310.95,11152.40,11189.20,11189.20,482900
30-07-2019,11213.70,11267.45,11072.65,11085.40,11085.40,479100
31-07-2019,11034.05,11145.30,10999.40,11118.00,11118.00,536700
01-08-2019,11060.20,11076.75,10881.00,10980.00,10980.00,499900
02-08-2019,10930.30,11080.15,10848.95,10997.35,10997.35,547400
05-08-2019,10895.80,10895.80,10782.60,10862.60,10862.60,506600
06-08-2019,10815.40,11018.55,10813.80,10948.25,10948.25,517900
07-08-2019,10958.10,10975.65,10835.90,10855.50,10855.50,548500
08-08-2019,10899.20,11058.05,10842.95,11032.45,11032.45,482500
09-08-2019,11087.90,11181.45,11062.80,11109.65,11109.65,538100
13-08-2019,11139.40,11145.90,10901.60,10925.85,10925.85,624600
14-08-2019,11003.25,11078.15,10935.60,11029.40,11029.40,511500
16-08-2019,11043.65,11068.65,10924.30,11047.80,11047.80,470900
19-08-2019,11094.80,11146.90,11037.85,11053.90,11053.90,369500
20-08-2019,11063.90,11076.30,10985.30,11017.00,11017.00,444700
21-08-2019,11018.15,11034.20,10906.65,10918.70,10918.70,557900
22-08-2019,10905.30,10908.25,10718.30,10741.35,10741.35,668200
23-08-2019,10699.60,10862.55,10637.15,10829.35,10829.35,667100
26-08-2019,11000.30,11070.30,10756.55,11057.85,11057.85,684100
27-08-2019,11106.55,11141.75,11049.50,11105.35,11105.35,685600
28-08-2019,11101.30,11129.65,10987.65,11046.10,11046.10,550000
29-08-2019,10996.05,11021.10,10922.40,10948.30,10948.30,649900
30-08-2019,10987.80,11042.60,10874.80,11023.25,11023.25,628200
03-09-2019,10960.95,10967.50,10772.70,10797.90,10797.90,483000
04-09-2019,10790.40,10858.75,10746.35,10844.65,10844.65,508800
05-09-2019,10860.95,10920.10,10816.00,10847.90,10847.90,595700
06-09-2019,10883.80,10957.05,10867.45,10946.20,10946.20,497200
09-09-2019,10936.70,11028.85,10889.80,11003.05,11003.05,412500
11-09-2019,11028.50,11054.80,11011.65,11035.70,11035.70,687100
12-09-2019,11058.30,11081.75,10964.95,10982.80,10982.80,551400
13-09-2019,10986.80,11084.45,10945.75,11075.90,11075.90,624300
16-09-2019,10994.85,11052.70,10968.20,11003.50,11003.50,434500
17-09-2019,11000.10,11000.10,10796.50,10817.60,10817.60,482000
18-09-2019,10872.80,10885.15,10804.85,10840.65,10840.65,519200
19-09-2019,10845.20,10845.20,10670.25,10704.80,10704.80,642600
20-09-2019,10746.80,11381.90,10691.00,11274.20,11274.20,1356800
23-09-2019,11542.70,11694.85,11471.35,11600.20,11600.20,882800
24-09-2019,11590.70,11655.05,11539.20,11588.20,11588.20,651700
25-09-2019,11564.85,11564.95,11416.10,11440.20,11440.20,629100
26-09-2019,11469.85,11610.85,11466.35,11571.20,11571.20,844500
27-09-2019,11556.35,11593.60,11499.75,11512.40,11512.40,650000
30-09-2019,11491.15,11508.25,11390.80,11474.45,11474.45,756800
01-10-2019,11515.40,11554.20,11247.90,11359.90,11359.90,1305400
03-10-2019,11322.25,11370.40,11257.35,11314.00,11314.00,1017500
04-10-2019,11388.45,11400.30,11158.35,11174.75,11174.75,928500
07-10-2019,11196.20,11233.85,11112.65,11126.40,11126.40,733200
09-10-2019,11152.95,11321.60,11090.15,11313.30,11313.30,741100
10-10-2019,11280.50,11293.35,11208.55,11234.55,11234.55,562000
11-10-2019,11257.70,11362.90,11189.40,11305.05,11305.05,737800
14-10-2019,11335.90,11420.45,11290.05,11341.15,11341.15,587600
15-10-2019,11360.85,11462.35,11342.10,11428.30,11428.30,527400
16-10-2019,11464.95,11481.05,11411.10,11464.00,11464.00,533500
17-10-2019,11466.30,11599.10,11439.65,11586.35,11586.35,797600
18-10-2019,11580.30,11684.70,11553.15,11661.85,11661.85,853400
22-10-2019,11657.15,11714.35,11573.65,11588.35,11588.35,867600
23-10-2019,11596.20,11651.60,11554.40,11604.10,11604.10,664200
24-10-2019,11661.65,11679.60,11534.65,11582.60,11582.60,700500
25-10-2019,11646.15,11646.90,11490.75,11583.90,11583.90,812000
29-10-2019,11643.95,11809.40,11627.35,11786.85,11786.85,951700
30-10-2019,11883.90,11883.95,11784.45,11844.10,11844.10,725200
31-10-2019,11890.45,11945.00,11855.10,11877.45,11877.45,1414800
01-11-2019,11886.60,11918.30,11843.35,11890.60,11890.60,855300
04-11-2019,11928.90,11989.15,11905.35,11941.30,11941.30,823100
05-11-2019,11974.60,11978.95,11861.90,11917.20,11917.20,632000
06-11-2019,11911.50,12002.90,11850.25,11966.05,11966.05,603400
07-11-2019,12021.10,12021.40,11946.85,12012.05,12012.05,563000
08-11-2019,11987.15,12034.15,11888.75,11908.15,11908.15,789300
11-11-2019,11879.20,11932.65,11853.95,11913.45,11913.45,549000
13-11-2019,11908.30,11946.80,11823.20,11840.45,11840.45,659000
14-11-2019,11858.75,11895.65,11802.65,11872.10,11872.10,559500
15-11-2019,11904.20,11973.65,11879.25,11895.45,11895.45,580200
18-11-2019,11915.15,11946.20,11867.60,11884.50,11884.50,514400
19-11-2019,11919.45,11958.85,11881.75,11940.10,11940.10,613900
20-11-2019,12004.75,12038.60,11966.05,11999.10,11999.10,646700
21-11-2019,12025.65,12028.20,11956.90,11968.40,11968.40,557700
22-11-2019,11967.30,11968.10,11883.50,11914.40,11914.40,486800
25-11-2019,11922.45,12084.50,11919.75,12073.75,12073.75,534300
26-11-2019,12110.20,12132.45,12006.35,12037.70,12037.70,1201300
27-11-2019,12068.50,12114.90,12055.15,12100.70,12100.70,584200
28-11-2019,12132.10,12158.80,12099.95,12151.15,12151.15,620500
29-11-2019,12146.20,12147.40,12017.40,12056.05,12056.05,804400
02-12-2019,12137.05,12137.15,12023.70,12048.20,12048.20,720900
03-12-2019,12067.65,12068.60,11956.40,11994.20,11994.20,605800
04-12-2019,11969.95,12054.70,11935.30,12043.20,12043.20,747200
05-12-2019,12071.25,12081.20,11998.75,12018.40,12018.40,562200
06-12-2019,12047.35,12057.05,11888.85,11921.50,11921.50,609200
09-12-2019,11939.10,11981.95,11888.05,11937.50,11937.50,599100
10-12-2019,11950.50,11953.20,11844.70,11856.80,11856.80,650200
11-12-2019,11867.35,11923.20,11832.30,11910.15,11910.15,997700
12-12-2019,11944.30,12005.50,11934.00,11971.80,11971.80,752600
13-12-2019,12026.40,12098.85,12023.60,12086.70,12086.70,597700
16-12-2019,12131.35,12134.65,12046.30,12053.95,12053.95,437700
17-12-2019,12082.45,12182.75,12070.35,12165.00,12165.00,499600
18-12-2019,12197.00,12237.70,12163.45,12221.65,12221.65,518900
19-12-2019,12223.40,12268.35,12191.15,12259.70,12259.70,623100
20-12-2019,12266.45,12293.90,12252.75,12271.80,12271.80,810700
23-12-2019,12235.45,12287.15,12213.25,12262.75,12262.75,604800
24-12-2019,12269.25,12283.70,12202.10,12214.55,12214.55,470300
26-12-2019,12211.85,12221.55,12118.85,12126.55,12126.55,520300
27-12-2019,12172.90,12258.45,12157.90,12245.80,12245.80,383800
30-12-2019,12274.90,12286.45,12213.80,12255.85,12255.85,411100
31-12-2019,12247.10,12247.10,12151.80,12168.45,12168.45,426900
01-01-2020,12202.15,12222.20,12165.30,12182.50,12182.50,304100
02-01-2020,12198.55,12289.90,12195.25,12282.20,12282.20,407700
03-01-2020,12261.10,12265.60,12191.35,12226.65,12226.65,428800
06-01-2020,12170.60,12179.10,11974.20,11993.05,11993.05,396500
07-01-2020,12079.10,12152.15,12005.35,12052.95,12052.95,447800
08-01-2020,11939.10,12044.95,11929.60,12025.35,12025.35,446000
09-01-2020,12153.15,12224.05,12132.55,12215.90,12215.90,477500
10-01-2020,12271.00,12311.20,12213.20,12256.80,12256.80,660600
13-01-2020,12296.70,12337.75,12285.80,12329.55,12329.55,501000
14-01-2020,12333.10,12374.25,12308.70,12362.30,12362.30,616300
15-01-2020,12349.40,12355.15,12278.75,12343.30,12343.30,684400
16-01-2020,12347.10,12389.05,12315.80,12355.50,12355.50,395700
17-01-2020,12328.40,12385.45,12321.40,12352.35,12352.35,502100
20-01-2020,12430.50,12430.50,12216.90,12224.55,12224.55,491600
21-01-2020,12195.30,12230.05,12162.30,12169.85,12169.85,400
22-01-2020,12218.35,12225.05,12087.90,12106.90,12106.90,500
23-01-2020,12123.75,12189.00,12094.10,12180.35,12180.35,867700
24-01-2020,12174.55,12272.15,12149.65,12248.25,12248.25,593200
27-01-2020,12197.10,12216.60,12107.00,12119.00,12119.00,441200
28-01-2020,12148.10,12163.55,12024.50,12055.80,12055.80,478500
